uid,ratings,priceLevel,displayName,description,status,openPeriods,createTime,notes,tags,location.latitude,location.longitude,brand.displayName,nextCloseTime,postcode,city,exclude_by_tag
4d080f94-f282-42a8-931e-0db8f0f13d50,"{'average': 4.6, 'total': 0}",1,"Lotek, Pecel, Dan Ayam Shabrina, Mlati",,1,"[{'day': 7, 'startTime': {'hours': 7, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 1, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 11, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 12, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 30, 'seconds': 0, 'nanos': 0}}]",2020-05-09T21:12:22.095Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_AYAM_BEBEK', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_AYAM_BEBEK', 'displayName': 'Ayam & bebek', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_MINUMAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_MINUMAN', 'displayName': 'Minuman', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.754755,110.35607,"Warung Shabrina, Sinduadi",2023-11-19T08:30:00.000Z,55291.0, Kabupaten Sleman,False
d1ff6634-aee5-4bba-8a5d-b707f07baeb4,"{'average': 4.7, 'total': 0}",3,"Gudeg Yu Djum, Ngaglik",,1,"[{'day': 1, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2020-08-10T10:44:22.978Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.731322,110.380884,"Gudeg Yu Djum, Mbarek",2023-11-19T14:00:00.000Z,55285.0, Kabupaten Sleman,False
74c9c8ee-d4ff-48e7-94fa-3821137a4fca,"{'average': 4.6, 'total': 0}",1,"Lotek & Gado-Gado Bu Nur, Palagan",,1,"[{'day': 1, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:28:08.705Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.745456,110.37342,Lotek & Gado-Gado Bu Nur,2023-11-19T09:00:00.000Z,55284.0, Kabupaten Sleman,False
e1cd857c-8068-4a84-abb5-d38308aceb04,"{'average': 4.6, 'total': 0}",3,"Gudeg Yu Narni, Palagan",,1,"[{'day': 1, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 5, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:25:36.574Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.746984,110.372797,Gudeg Yu Narni - Diah Kusuma Wardani,2023-11-19T13:00:00.000Z,55284.0, Kabupaten Sleman,False
9ca1ce1f-2f25-46f1-ae14-ce25b8b89aa8,"{'average': 4.7, 'total': 0}",1,"Gudeg Jamal, Jl. Magelang",,1,"[{'day': 1, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}]",2018-12-05T03:46:53.091Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_AYAM_BEBEK', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_AYAM_BEBEK', 'displayName': 'Ayam & bebek', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.7659838,110.3615103,Gudeg Legenda Mbok Joyo,2023-11-19T13:30:00.000Z,55223.0, Kota Yogyakarta,False
e26bc4e6-144c-4634-9788-e5798f89086c,"{'average': 4.7, 'total': 0}",2,"Lotek Pandega Putri, Ngaglik",,1,"[{'day': 1, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2020-06-15T08:16:40.558Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.7339369,110.3891486,Lotek Pandega Putri,2023-11-19T09:00:00.000Z,55581.0, Kabupaten Sleman,False
7938a948-7220-49d3-8307-4ab06d8756f2,"{'average': 4.5, 'total': 0}",1,"Lotek & Gado - Gado Bu Nur, Jambon",,1,"[{'day': 1, 'startTime': {'hours': 9, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 9, 'minutes': 15, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2018-10-30T06:37:22.142Z,,"[{'key': 'tenants/gofood/tags/CUISINE_SOTO_BAKSO_SOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_SOTO_BAKSO_SOP', 'displayName': 'Bakso & soto', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_AYAM_BEBEK', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_AYAM_BEBEK', 'displayName': 'Ayam & bebek', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.769749,110.356918,Lotek & Gado-Gado Bu Nur,2023-11-19T09:00:00.000Z,55223.0, Kota Yogyakarta,False
c2c5bc09-5662-4f70-a406-907822d38771,"{'average': 4.7, 'total': 0}",1,"Lotek Pandega Putri, Depok",,1,"[{'day': 1, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 16, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2017-07-24T13:08:44.073Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.7552375,110.3792182,Lotek Pandega Putri,2023-11-19T09:00:00.000Z,52281.0,Kabupaten Sleman,False
d03a9299-809b-4c64-a256-28b639a993f2,"{'average': 4.8, 'total': 0}",1,Gudeg Rizky 2,,1,"[{'day': 1, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 5, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 22, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2021-03-23T11:41:15.914Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.77325132151724,110.31249728053808,"Gudeg Rizky 2, Arief Yusnida",2023-11-19T15:00:00.000Z,55264.0, Kabupaten Sleman,False
ab5ba174-35fb-43d2-872c-5cb731a5b5fd,"{'average': 4.4, 'total': 0}",3,"Bakpia Kurnia Sari, Godean",,1,"[{'day': 1, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2019-12-11T13:33:54.367Z,,"[{'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.77869,110.338618,"Bakpia Kurnia Sari, Godean",2023-11-19T13:00:00.000Z,55292.0,Kota Yogyakarta,False
916d0536-7ad7-45fc-bf51-8028b865a96d,"{'average': 4.7, 'total': 0}",3,"Gudeg Yu Djum, AM Sangaji",Juara Partner GO-FOOD 2019: Kategori Pelayanan Driver Terbaik Provinsi D.I Yogyakarta,1,"[{'day': 1, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 19, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:25:13.561Z,,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-7.770860499999999,110.3684083,"Gudeg Yu Djum, Kaliurang",2023-11-19T12:00:00.000Z,55233.0, Kota Yogyakarta,False
